yyyy,mm,yearmonth,SOI,NAO,EA,WP,EP_NP,PNA,EA_WR,SCA,TNH,POL,PT,expl_var,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
1955,8,195508,1.5,1.25,-0.75,-1.19,0.61,-0.55,1.44,2.42,-99.9,0.54,0.92,59.1,9.05,75.4,1.61,1.61,4.84,1.61,340,0,2.15,1.83,1.48,1.26,0.78,0.6,-0.51,65.8,85.1
1955,9,195509,1.3,0.46,0.1,1.29,-0.15,-0.22,-1.21,0.64,-99.9,-1.81,-0.28,46.3,3.05,67.6,1.5,1.5,0.17,1.5,120,39,-0.05,1.5,1.24,0.68,0.59,0.84,-0.44,57.6,77.7
1955,10,195510,1.5,-1.09,-2.29,1.2,-1.09,0.51,-0.39,-0.09,-99.9,0.64,-99.9,72.4,2.37,56.6,-0.15,1.2,-0.44,0.89,14,264,-0.34,-0.45,1.12,0.51,0.87,0.44,-0.35,43.8,69.4
1955,11,195511,1.2,-1.49,-1.89,-1.13,-0.37,-0.93,0.62,-0.26,-99.9,1,-99.9,70.2,1.85,43.4,-0.35,0.86,-0.65,0.14,0,641,-0.65,-0.75,-0.73,0.53,0.52,0.2,-0.33,30.9,56
1955,12,195512,1,0.07,0.35,-1.28,-99.9,-2.37,0.73,-0.42,-1.4,0.14,-99.9,72.2,0.99,32.3,-1.02,-1.02,-2.14,-1.02,0,1016,-1.99,-1.91,-1.63,-0.06,-0.21,-0.22,-0.59,22,42.7
1956,1,195601,1.3,-0.76,-2.27,-2.87,-0.39,-2.34,-0.74,-0.23,-3.26,-0.04,-99.9,82.6,1.62,32.7,-1.52,-1.52,-1.8,-1.52,0,999,-1.53,-2.49,-2.43,-0.41,-0.6,-0.16,-0.98,23.4,41.9
1956,2,195602,1.6,-1.71,-2.61,-1.65,-1.99,-1.69,-0.89,0.46,0.61,0.24,-99.9,79.4,4.49,40.7,0.57,-0.8,1.7,0.18,0,688,1.16,0,-1.08,-1.25,-0.11,0.01,-0.61,30.6,50.7
1956,3,195603,1.3,-0.46,-0.39,0.11,-1.13,-0.97,0.33,0.9,-99.9,1.53,-99.9,59.8,3.38,43.5,0.41,-0.81,-0.29,0.02,0,672,-0.2,0.65,-0.13,-1.35,-0.23,-0.34,-0.68,31.8,55.3
1956,4,195604,0.9,-1.3,-1.35,0.73,0.29,-0.17,-0.08,0.25,-99.9,-0.7,-99.9,59.7,3.47,52,0.55,-0.55,0.54,0.55,0,382,0.17,-0.14,0.55,-1.03,-0.08,-0.35,-0.57,40.1,63.9
1956,5,195605,1.4,2.1,-0.2,2,-0.05,-0.17,0.61,-0.82,-99.9,0.3,-99.9,47.3,2.55,63.2,-0.55,-1.05,-1.66,-0.66,54,115,-1,-0.65,-0.7,-1.17,-1.36,-0.42,-0.91,50.3,76.2
1956,6,195606,1.1,0.41,-0.66,-0.81,-1.95,-0.08,-1.47,0.66,-99.9,-0.53,-99.9,71.3,3.07,70.8,-0.79,-1.23,-0.88,-1.15,200,8,-0.63,-1.16,-0.91,-0.79,-1.64,-0.63,-0.82,58.7,82.9
1956,7,195607,1.1,-0.72,-0.45,0.58,0.48,-1.28,1.13,-0.13,-99.9,-2.37,-99.9,42.3,6.47,74.4,0.73,0.73,2.2,0.73,304,0,1.45,0.57,-0.08,0.21,-0.94,-0.14,-0.41,63.7,85.1
1956,8,195608,1.2,-1.89,-1.41,0.5,1.92,-0.23,-0.16,-0.45,-99.9,-0.96,1.4,76.7,3.14,73,0.29,0.29,-1.1,-0.37,259,1,-0.58,0.38,0,-0.5,-0.92,-1.22,-0.46,61.5,84.4
